#,License Plate,Created At,Pickup Date,Return Date,Total Days,Odometer at Pickup,Odometer at Return
32131,a11005,12/29/2021 ,01/02/2022 ,01/02/2022 ,0,8240.0,8241.0
32171,576xpt,12/29/2021 ,01/30/2022 ,02/01/2022 ,2,19111.0,19278.0
32172,A18128,12/29/2021 ,12/30/2021 ,01/02/2022 ,3,536.0,557.0
32186,A19403,12/30/2021 ,02/25/2022 ,02/25/2022 ,0,9300.0,9301.0
32187,A19400,12/30/2021 ,02/25/2022 ,02/25/2022 ,0,9118.0,9120.0
32200,A20132,12/30/2021 ,01/08/2022 ,01/12/2022 ,4,473.0,858.0
32228,D 56955,12/30/2021 ,01/11/2022 ,01/11/2022 ,0,0.0,0.0
32229,D 56949,12/30/2021 ,01/11/2022 ,01/11/2022 ,0,0.0,0.0
32231,a17492,12/30/2021 ,01/22/2022 ,01/22/2022 ,0,5353.0,5369.0
32232,A18520,12/30/2021 ,01/22/2022 ,01/22/2022 ,0,7192.0,7192.0
32233,A19229,12/30/2021 ,01/22/2022 ,01/22/2022 ,0,7938.0,7938.0
32234,A17576,12/30/2021 ,01/22/2022 ,01/22/2022 ,0,4447.0,4462.0
32238,914 xpp,12/30/2021 ,12/30/2021 ,01/01/2022 ,3,4945.0,4945.0
32241,a17493,12/30/2021 ,01/30/2022 ,01/30/2022 ,0,5392.0,5416.0
32242,A20330,12/30/2021 ,01/30/2022 ,01/30/2022 ,0,1.0,14.0
32253,D79458,12/30/2021 ,03/01/2022 ,03/30/2022 ,29,0.0,0.0
32254,D78008,12/30/2021 ,03/01/2022 ,03/30/2022 ,29,0.0,0.0
32258,A18319,12/30/2021 ,01/05/2022 ,01/08/2022 ,3,1654.0,1920.0
32263,D 56956,12/30/2021 ,01/21/2022 ,01/21/2022 ,0,0.0,0.0
32264,d51803,12/30/2021 ,01/21/2022 ,01/21/2022 ,0,0.0,0.0
32268,b-682022,12/31/2021 ,01/05/2022 ,01/08/2022 ,3,151.0,418.0
32269,D78006,12/31/2021 ,03/07/2022 ,03/12/2022 ,5,0.0,0.0
32303,A17174,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,7831.0,7840.0
32308,A17403,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,3086.0,3087.0
32313,A19424,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,6604.0,6605.0
32314,A19418,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,779500.0,779600.0
32315,A15646,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,7171.0,7172.0
32327,914 xpp,12/31/2021 ,01/02/2022 ,01/02/2022 ,0,4945.0,5207.0
32328,A19026,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,11032.0,11032.0
32329,A09296,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,18927.0,18927.0
32330,a09542,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,20300.0,20300.0
32331,a05891,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,27320.0,27322.0
32332,a11003,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,16135.0,16135.0
32334,abc8120,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,10753.0,10753.0
32335,A17986,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,3220.0,3450.0
32336,a15669,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,7074.0,7100.0
32337,a17492,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,4560.0,4717.0
32340,a08263,12/31/2021 ,01/01/2022 ,01/01/2022 ,0,25074.0,25074.0
32341,A17013,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,5934.0,5934.0
32342,A19420,12/31/2021 ,12/31/2021 ,01/01/2022 ,1,6115.0,6115.0
32345,A17838,12/31/2021 ,02/21/2022 ,02/21/2022 ,0,2469.0,2470.0
